Sector,Year,Month,Month_Year,Avg_Volume_Millions
Auto,2011,5,May-2011,0.9
Auto,2011,6,Jun-2011,0.85
Auto,2011,7,Jul-2011,0.71
Auto,2011,8,Aug-2011,1.19
Auto,2011,9,Sep-2011,2.57
Auto,2012,1,Jan-2012,3.47
Auto,2012,10,Oct-2012,1.71
Auto,2012,11,Nov-2012,2.5
Auto,2012,12,Dec-2012,2.03
Auto,2012,2,Feb-2012,3.54
Auto,2012,3,Mar-2012,2.55
Auto,2012,4,Apr-2012,1.78
Auto,2012,5,May-2012,2.73
Auto,2012,6,Jun-2012,2.75
Auto,2012,7,Jul-2012,2.19
Auto,2012,8,Aug-2012,2.11
Auto,2012,9,Sep-2012,2.2
Auto,2013,1,Jan-2013,2.11
Auto,2013,10,Oct-2013,1.75
Auto,2013,11,Nov-2013,1.55
Auto,2013,12,Dec-2013,1.4
Auto,2013,2,Feb-2013,1.91
Auto,2013,3,Mar-2013,2.17
Auto,2013,4,Apr-2013,1.86
Auto,2013,5,May-2013,1.6
Auto,2013,6,Jun-2013,1.86
Auto,2013,7,Jul-2013,1.54
Auto,2013,8,Aug-2013,2.3
Auto,2013,9,Sep-2013,1.72
Auto,2014,1,Jan-2014,1.29
Auto,2014,10,Oct-2014,1.13
Auto,2014,11,Nov-2014,1.24
Auto,2014,12,Dec-2014,0.96
Auto,2014,2,Feb-2014,1.6
Auto,2014,3,Mar-2014,1.25
Auto,2014,4,Apr-2014,1.09
Auto,2014,5,May-2014,1.41
Auto,2014,6,Jun-2014,1.27
Auto,2014,7,Jul-2014,1.31
Auto,2014,8,Aug-2014,1.51
Auto,2014,9,Sep-2014,1.39
Auto,2015,1,Jan-2015,1.34
Auto,2015,10,Oct-2015,2.31
Auto,2015,11,Nov-2015,2.06
Auto,2015,12,Dec-2015,1.5
Auto,2015,2,Feb-2015,1.42
Auto,2015,3,Mar-2015,1.15
Auto,2015,4,Apr-2015,1.17
Auto,2015,5,May-2015,1.47
Auto,2015,6,Jun-2015,1.58
Auto,2015,7,Jul-2015,1.68
Auto,2015,8,Aug-2015,1.97
Auto,2015,9,Sep-2015,1.94
Auto,2016,1,Jan-2016,1.89
Auto,2016,10,Oct-2016,1.29
Auto,2016,11,Nov-2016,1.87
Auto,2016,12,Dec-2016,1.69
Auto,2016,2,Feb-2016,2.41
Auto,2016,3,Mar-2016,1.98
Auto,2016,4,Apr-2016,1.67
Auto,2016,5,May-2016,2.76
Auto,2016,6,Jun-2016,2.22
Auto,2016,7,Jul-2016,1.45
Auto,2016,8,Aug-2016,1.62
Auto,2016,9,Sep-2016,1.77
Auto,2017,1,Jan-2017,1.2
Auto,2017,10,Oct-2017,1.29
Auto,2017,11,Nov-2017,2.27
Auto,2017,12,Dec-2017,1.82
Auto,2017,2,Feb-2017,1.81
Auto,2017,3,Mar-2017,1.45
Auto,2017,4,Apr-2017,1.37
Auto,2017,5,May-2017,1.52
Auto,2017,6,Jun-2017,1.29
Auto,2017,7,Jul-2017,1.16
Auto,2017,8,Aug-2017,1.56
Auto,2017,9,Sep-2017,1.72
Auto,2018,1,Jan-2018,1.83
Auto,2018,10,Oct-2018,4.5
Auto,2018,11,Nov-2018,3.6
Auto,2018,12,Dec-2018,3.34
Auto,2018,2,Feb-2018,2.23
Auto,2018,3,Mar-2018,1.99
Auto,2018,4,Apr-2018,2.53
Auto,2018,5,May-2018,2.94
Auto,2018,6,Jun-2018,2.89
Auto,2018,7,Jul-2018,2.44
Auto,2018,8,Aug-2018,3.04
Auto,2018,9,Sep-2018,3.18
Auto,2019,1,Jan-2019,3.2
Auto,2019,10,Oct-2019,10.75
Auto,2019,11,Nov-2019,5.6
Auto,2019,12,Dec-2019,7.46
Auto,2019,2,Feb-2019,4.53
Auto,2019,3,Mar-2019,4.11
Auto,2019,4,Apr-2019,8.02
Auto,2019,5,May-2019,5.26
Auto,2019,6,Jun-2019,3.66
Auto,2019,7,Jul-2019,5.24
Auto,2019,8,Aug-2019,8.63
Auto,2019,9,Sep-2019,10.95
Auto,2020,1,Jan-2020,7.16
Auto,2020,10,Oct-2020,11.92
Auto,2020,11,Nov-2020,12.98
Auto,2020,12,Dec-2020,10.55
Auto,2020,2,Feb-2020,9.89
Auto,2020,3,Mar-2020,14.63
Auto,2020,4,Apr-2020,12.9
Auto,2020,5,May-2020,12.35
Auto,2020,6,Jun-2020,17.75
Auto,2020,7,Jul-2020,10.81
Auto,2020,8,Aug-2020,16.6
Auto,2020,9,Sep-2020,14.03
Auto,2021,1,Jan-2021,27.92
Auto,2021,2,Feb-2021,18.84
Auto,2021,3,Mar-2021,12.94
Auto,2021,4,Apr-2021,11.42
"Banking & Finance",2000,1,Jan-2000,0.58
"Banking & Finance",2000,10,Oct-2000,0.13
"Banking & Finance",2000,11,Nov-2000,0.29
"Banking & Finance",2000,12,Dec-2000,0.35
"Banking & Finance",2000,2,Feb-2000,0.57
"Banking & Finance",2000,3,Mar-2000,0.45
"Banking & Finance",2000,4,Apr-2000,0.83
"Banking & Finance",2000,5,May-2000,0.32
"Banking & Finance",2000,6,Jun-2000,0.42
"Banking & Finance",2000,7,Jul-2000,0.33
"Banking & Finance",2000,8,Aug-2000,0.17
"Banking & Finance",2000,9,Sep-2000,0.16
"Banking & Finance",2001,1,Jan-2001,0.56
"Banking & Finance",2001,10,Oct-2001,0.09
"Banking & Finance",2001,11,Nov-2001,0.08
"Banking & Finance",2001,12,Dec-2001,0.08
"Banking & Finance",2001,2,Feb-2001,0.74
"Banking & Finance",2001,3,Mar-2001,0.37
"Banking & Finance",2001,4,Apr-2001,0.19
"Banking & Finance",2001,5,May-2001,0.26
"Banking & Finance",2001,6,Jun-2001,0.19
"Banking & Finance",2001,7,Jul-2001,0.09
"Banking & Finance",2001,8,Aug-2001,0.06
"Banking & Finance",2001,9,Sep-2001,0.09
"Banking & Finance",2002,1,Jan-2002,0.11
"Banking & Finance",2002,10,Oct-2002,0.09
"Banking & Finance",2002,11,Nov-2002,0.24
"Banking & Finance",2002,12,Dec-2002,0.48
"Banking & Finance",2002,2,Feb-2002,0.54
"Banking & Finance",2002,3,Mar-2002,0.28
"Banking & Finance",2002,4,Apr-2002,0.15
"Banking & Finance",2002,5,May-2002,0.13
"Banking & Finance",2002,6,Jun-2002,0.19
"Banking & Finance",2002,7,Jul-2002,0.13
"Banking & Finance",2002,8,Aug-2002,0.07
"Banking & Finance",2002,9,Sep-2002,0.09
"Banking & Finance",2003,1,Jan-2003,0.46
"Banking & Finance",2003,10,Oct-2003,0.91
"Banking & Finance",2003,11,Nov-2003,0.67
"Banking & Finance",2003,12,Dec-2003,0.84
"Banking & Finance",2003,2,Feb-2003,0.65
"Banking & Finance",2003,3,Mar-2003,0.35
"Banking & Finance",2003,4,Apr-2003,0.33
"Banking & Finance",2003,5,May-2003,0.6
"Banking & Finance",2003,6,Jun-2003,0.76
"Banking & Finance",2003,7,Jul-2003,1.02
"Banking & Finance",2003,8,Aug-2003,1.2
"Banking & Finance",2003,9,Sep-2003,0.86
"Banking & Finance",2004,1,Jan-2004,1.33
"Banking & Finance",2004,10,Oct-2004,0.53
"Banking & Finance",2004,11,Nov-2004,0.62
"Banking & Finance",2004,12,Dec-2004,0.96
"Banking & Finance",2004,2,Feb-2004,1.27
"Banking & Finance",2004,3,Mar-2004,0.84
"Banking & Finance",2004,4,Apr-2004,1.11
"Banking & Finance",2004,5,May-2004,1.31
