Sector,Year,Annual_Return,Best_Year_Rank
Others,2011,-13.42,16
Others,2010,-14.66,17
Others,2018,-14.81,18
Others,2002,-32.08,19
Others,2001,-46.38,20
Others,2008,-71.16,21
Others,2000,-103.64,22
Pharma,2009,71.39,1
Pharma,2020,55.32,2
Pharma,2014,40.07,3
Pharma,2003,39.81,4
Pharma,2012,28.9,5
Pharma,2005,26.69,6
Pharma,2021,24.51,7
Pharma,2013,10.44,8
Pharma,2006,10.34,9
Pharma,2001,9.15,10
Pharma,2010,7.86,11
Pharma,2015,4.88,12
Pharma,2019,3.97,13
Pharma,2007,2.29,14
Pharma,2011,-2.74,15
Pharma,2002,-4,16
Pharma,2017,-5.35,17
Pharma,2018,-7.35,18
Pharma,2016,-10.6,19
Pharma,2000,-14.18,20
Pharma,2008,-14.55,21
Pharma,2004,-27.23,22
